#код	файл с эмблемой клуба	название	город	год	стадион	мест	сайт
BRAGA	portugalBRAGA.png	Sporting Braga	Braga	1921	Estádio AXA	30286	http://www.scbraga.pt
SETUB	portugalSETUB.png	Vitória Setúbal FC	Setúbal	1910	Estádio do Bonfim	18694	http://www.vfc.pt
AMKAR	russiaAMKAR.png	ФК Амкар Пермь	Пермь	1994	Стадион "Звезда"	20000	http://fc-amkar.org
DIN-ST	russiaDIN-ST.png	ФК Динамо Ставрополь	Ставрополь	1924	Стадион "Динамо"	15982	http://www.dynamost.ru
ENISEY	russiaENISEY.png	ФК Енисей Красноярск	Красноярск	1937	Центральный стадион	32500	http://www.fc-enisey.ru/
ZENIT-SP	russiaZENIT-SP.png	ФК Зенит Санкт-Петербург	Санкт-Петербург	1925	Стадион Петровский	21838	http://www.fc-zenit.ru
KRSOV	russiaKRSOV.png	ПФК Крылья Советов Самара	Самара	1942	Стадион "Металлург"	33001	http://www.kc-camapa.ru
MOSCOW	russiaMOSCOW.png	ФК Москва	Москва	1997	Стадион "Торпедо" им. Эдуарда Стрельцова	14274	http://www.fcmoscow.ru
ROTOR	russiaROTOR.png	ФК Ротор Волгоград	Волгоград	1929	Центральный стадион "Ротор"	32120	http://www.rotor-fc.com
TOR-V	russiaTOR-V.png	ФК Торпедо Владимир	Владимир	1959	Стадион "Торпедо"	19700	http://www.torpedo33.com
DUNDEE	scotlandDUNDEE.png	Dundee FC	Dundee	1893	Dens Park	12085	http://www.thedees.co.uk
DUN_UTD	scotlandDUN_UTD.png	Dundee United FC	Dundee	1909	Tannadice Park	14209	http://www.dundeeunitedfc.co.uk
FALKIRK	scotlandFALKIRK.png	Falkirk FC	Falkirk	1876	Falkirk Community Stadium	9008	http://www.falkirkfc.co.uk
INVER	scotlandINVER.png	Inverness Caledonian Thistle FC	Inverness	1994	Tulloch Caledonian Stadium	7918	http://www.caleythistleonline.com
STRAN	scotlandSTRAN.png	Stranraer FC	Stranraer	1870	Stair Park	6250	http://www.stranraerfc.org
BARCELONA	spainBARCELONA.png	FC Barcelona	Barcelona	1899	Camp Nou	99787	http://www.fcbarcelona.com
DEPOR	spainDEPOR.png	Real Club Deportivo de La Coruña	A Coruña (La Coruña)	1906	Estadio Municipal de Riazor	34600	http://www.canaldeportivo.com
MALAGA	spainMALAGA.png	Málaga Club de Fútbol	Málaga	1948	Estadio La Rosaleda	29500	http://www.malagacf.com
RAYOVAL	spainRAYOVAL.png	Rayo Vallecano	Madrid	1924	Estadio del Rayo Vallecano	15500	http://www.rayovallecano.es
VALENCIA	spainVALENCIA.png	Valencia Club de Fútbol	Valencia	1919	Estadio de Mestalla	55000	http://www.valenciacf.com
VILLAR	spainVILLAR.png	Villarreal Club de Fútbol	Villarreal	1923	Camp El Madrigal	24500	http://www.villarrealcf.es
MET-Z	ukraineMET-Z.png	ФК Металлург Запорожье	Запорожье	1935	Стадион "Славутич-Арена"	12000	http://http://www.fcmetalurg.com/
NIVA-V	ukraineNIVA-V.png	ПФК Нива Винница	Винница	1958	Центральный городской стадион	14000	http://fcniva.vn.ua
OLIMPIK	ukraineOLIMPIK.png	ФК Олимпик Донецк	Донецк	2001	Стадион СК Олимпик	1320	http://olimpik.com.ua
OBOLON	ukraineOBOLON.png	ФК Оболонь Киев	Киев	1992	Оболонь Арена	5103	http://www.facebook.com/soccerway
SEVAST	ukraineSEVAS.png	ПФК Севастополь	Севастополь	2002	СК "Севастополь"	5864	http://www.fcsevastopol.com
SHAH-D	ukraineSHAH-D.png	ФК Шахтер Донецк	Донецк	1936	Донбасс Арена	53423	http://www.shakhtar.com
